"","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","probabilities","W1Day1","W1Day2","W1Day3","W1Day4","W1Day5","W1Day6","W1Day7","W2Day1","W2Day2","W2Day3","W2Day4","W2Day5","W2Day6","W2Day7","W3Day1","W3Day2","W3Day3","W3Day4","W3Day5","W3Day6","W3Day7","W4Day1","W4Day2","W4Day3","W4Day4","W4Day5","W4Day6","W4Day7","W5Day1","W5Day2","W5Day3","W5Day4","W5Day5","W5Day6","W5Day7","W6Day1","W6Day2","W6Day3","W6Day4","W6Day5","W6Day6","W6Day7","W7Day1","W7Day2","W7Day3","W7Day4","W7Day5","W7Day6","W7Day7","W8Day1","W8Day2","W8Day3","W8Day4","W8Day5","W8Day6","W8Day7","W9Day1","W9Day2","W9Day3","W9Day4","W9Day5","W9Day6","W9Day7","W10Day1","W10Day2","W10Day3","W10Day4","W10Day5","W10Day6","W10Day7","W11Day1","W11Day2","W11Day3","W11Day4","W11Day5","W11Day6","W11Day7","W12Day1","W12Day2","W12Day3","W12Day4","W12Day5","W12Day6","W12Day7","W13Day1","W13Day2","W13Day3","W13Day4","W13Day5","W13Day6","W13Day7"
"11",11,1.95886058779433,0.960809741169214,1.85523206647485,0.409221576992422,1.40018552634865,0.836354483384639,1.16645492287353,1,0,3.83490609724408,0.0826939955184953,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12,1.98743518488482,0.300581336021423,0.536666459403932,0.942691191099584,1.44457457587123,1.41511151287705,0.300654187332839,1,0,3.89609155623861,0.204058926955304,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"13",13,1.65471746539697,0.903743331320584,1.57742700865492,0.0818206584081054,0.868617838714272,1.2679391936399,1.22475452814251,0,1,3.23799911681535,0.125422767450318,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"14",14,0.38796459371224,0.186276473104954,1.85963192395866,0.961153232958168,0.683927716687322,0.481645941268653,1.60441838856786,0,1,0.744640430675775,0.524543391118322,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
"15",15,1.96265086019412,0.856709400657564,1.95028579141945,1.31493737827986,1.71201538806781,1.15219519240782,1.72469021286815,0,1,3.89359972347286,0.0887927294942436,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"16",16,0.0504571334458888,0.253665005788207,0.0368877896107733,0.515646236948669,1.85903910920024,0.45629471866414,1.99082547146827,0,0,0.0804306227826506,0.98484251415351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",17,1.94477696483955,1.89797943457961,0.2969686021097,1.38668287685141,0.247922451235354,1.41665447317064,1.31281546736136,1,0,4.04596246444611,0.00770901641323875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",18,1.84759331122041,0.654070242773741,1.21903209015727,1.99765475513414,0.245448540896177,1.33152491878718,1.81759488210082,0,0,3.71680339912185,0.195577998924612,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"19",19,0.678279356099665,1.14037164347246,0.606158166192472,0.962210998404771,0.567158550489694,1.51751557225361,1.53307116031647,1,0,1.38851821288493,0.784076889379362,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",20,0.493158804252744,0.78286464093253,1.0952732632868,1.82781510613859,1.86729453597218,1.11236961651593,0.35322144581005,0,1,1.15990577003638,0.370516983499688,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"21",21,1.69832753110677,0.936397668439895,0.520427161362022,0.869419757276773,1.77904509846121,0.382490482646972,1.94298698846251,1,1,3.42001921698158,0.128056412413396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22",22,1.44817642914131,0.352668566629291,1.27943605789915,0.517128366511315,1.76909698406234,0.339064375963062,0.0420156954787672,0,0,2.91018646030934,0.508729882943126,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0
"23",23,0.0932359676808119,1.41153022879735,1.79631070839241,0.560520414728671,0.445847800001502,0.087801621761173,0.0408483664505184,1,0,0.150188857820109,0.910887910155069,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"24",24,0.307356318924576,1.17630041949451,1.20865158643574,0.30651924200356,0.13560209935531,1.02018636278808,1.0182141950354,1,1,0.592798330369366,0.242313314090704,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,1.12518834602088,0.679739528335631,1.49959185859188,0.221032349858433,0.0604785908944905,1.39890194823965,0.51872899569571,1,1,2.14365688859632,0.249489310371884,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"26",26,1.96285138232633,0.802869690582156,1.97957729455084,0.945313909091055,0.295726155396551,1.76877254946157,1.60669278306887,0,0,4.01997910934158,0.127795015504093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,1.86354845995083,1.26979157002643,0.55790925770998,1.61959771905094,1.67459425795823,1.73934367671609,1.40695623634383,0,1,3.61778150934217,0.0545946424443637,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"28",28,1.79722988698632,0.703103123698384,1.34717162139714,0.691521588712931,1.14618725283071,1.9592753034085,1.97881467267871,1,0,3.71851729955825,0.176714959709162,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"29",29,0.939586519263685,0.909718483220786,0.386501936707646,0.344503032043576,0.0143976709805429,0.322284647263587,1.0745187359862,1,1,2.07182495912094,0.24250008773112,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
"30",30,1.99001622153446,1.75727674737573,1.00017725164071,0.899404268711805,0.544532190077007,1.89971848251298,1.29013909865171,0,0,3.96107397607378,0.00991187257176498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,1.79654903896153,0.286370648536831,0.834363164380193,1.5406765928492,0.106813302729279,1.29849799443036,0.309900789987296,1,1,3.57612542231135,0.170235597482995,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"32",32,0.203235427848995,0.366890772245824,1.48720629280433,1.97520090453327,1.1406734213233,0.98020309722051,1.71025448478758,0,1,0.304778549894252,0.566053382063859,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0
"33",33,1.47891475073993,1.89731873292476,0.275572682730854,1.00227642385289,1.49918291997164,1.04328503226861,1.8003424750641,1,0,3.15198330561163,0.0272696268165867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",34,0.458241049665958,1.80620675813407,1.31040309835225,0.725481930654496,1.25431870995089,0.387958480045199,1.56658200453967,0,1,1.03170338030254,0.0383553871232923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"35",35,1.57673012139276,0.475137688685209,1.59335055667907,0.253772150725126,0.332859865855426,0.602263774722815,0.737628079950809,1,1,3.36622015888323,0.214039687168452,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"36",36,1.28346477961168,1.25654525170103,0.762471795547754,1.69081902271137,0.0288746817968786,1.49575106659904,1.84575984207913,0,0,2.58816392944394,0.260717294167946,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"37",37,1.93748977594078,0.613241398241371,1.58909838506952,0.59927793033421,0.172963165212423,0.747325404547155,0.00811697682365775,1,0,3.75202235608481,0.16527232165577,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"38",38,1.49260355904698,0.252354077994823,0.0660907686688006,1.35620187595487,1.31513570155948,0.0563501971773803,0.0961307235993445,0,1,3.12723794086373,0.252287936038414,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
"39",39,0.585508683230728,0.679397517349571,0.565372796729207,0.748460054397583,0.003169025760144,0.723090385086834,0.612925947178155,1,0,1.12417300334427,0.918669179060453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
"40",40,0.430159520357847,0.378136944491416,0.466917782090604,0.583744581788778,0.194270784035325,1.4434076291509,1.46165151055902,1,1,0.904301085518399,0.538915050159844,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
"41",41,1.46426664013416,0.223615224007517,1.67763314768672,1.47761391103268,1.92689719377086,0.299221752211452,0.821877117734402,1,0,2.9679004612025,0.485623352827982,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0
"42",42,1.66149134142324,0.375053000636399,0.815522087272257,0.874542686156929,1.93328163446859,0.313171414658427,0.223434931598604,0,1,3.24414137543796,0.213639331440649,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
"43",43,1.0976081546396,1.53963734908029,1.30558769172058,1.64611184084788,1.81569418497384,1.48333138460293,0.979301468003541,0,1,2.03511401950557,0.0511425293668375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,1.31746673723683,1.7865374260582,1.86769642820582,1.03890892164782,0.417003080248833,1.53870517155156,0.544307224452496,0,1,2.80252309868074,0.0151456799617503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,0.428953230381012,0.0579724474810064,0.393510884605348,0.0901765525341034,1.60398895852268,1.27970921108499,0.527629661373794,1,1,0.838804635132628,0.470829117988063,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1
"46",46,0.183635814581066,0.715076075866818,1.4212793186307,1.58956987084821,1.07868675328791,0.957784526981413,1.11126750567928,0,0,0.481555846644787,0.967393864012474,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"47",47,0.61723586730659,1.37362988479435,0.127980026416481,0.764112875331193,0.600293382070959,0.874492253642529,0.765955111011863,1,0,1.25465180617901,0.694135959305618,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"48",48,0.85653534764424,1.35806073760614,1.40915416972712,0.484115114901215,1.29007322480902,0.472321188542992,1.51824242016301,1,0,1.69173458342724,0.537225923913053,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
